1921,6955
1922,6929
1923,6924
1924,6932
1925,6909
1926,6919
1927,6952
1928,6921
1929,6928
1930,6925
1931,6975
1932,6967
1933,6993
1934,6936
1935,6976
1936,6963
1937,6986
1938,6998
1939,7002
1940,7005
1941,7013
1942,7027
1943,7008
1944,7020
1945,7072
1946,7039
1947,7048
1948,7058
1949,7009
1950,7006
1951,7063
1952,7062
1953,7061
1954,7060
1955,7066
1956,7069
1957,7032
1958,7108
1959,7037
1960,7091
1961,7086
1962,7064
1963,7042
1964,7048
1965,7048
1966,7059
1967,7073
1968,7066
1969,7110
1970,7091
1971,7105
1972,7125
1973,7123
1974,7087
1975,7099
1976,7061
1977,7092
1978,7098
1979,7069
1980,7062
1981,7083
1982,7067
1983,7144
1984,7120
1985,7117
1986,7096
1987,7114
1988,7082
1989,7069
1990,7077
1991,7123
1992,7117
1993,7129
1995,7120
1996,7176
1997,7164
1998,7183
1999,7133
2000,7134
2001,7130
2002,7129
2003,7151
2004,7152
2005,7211
2006,7194
2007,7159
2008,7179
2010,7277
2011,7239
2012,7221
2013,7212
2014,7214
2015,7184
2016,7222
2017,7227
2018,7235
2019,7253
2020,7246
2021,7251
2022,7230
2023,7315
