1865,6666
1866,6800
1867,6745
1868,6744
1869,6748
1870,6691
1871,6684
1872,6742
1873,6752
1874,6736
1875,6690
1876,6754
1877,6838
1878,6815
1879,6756
1880,6787
1881,6738
1882,6768
1883,6758
1884,6772
1885,6752
1886,6763
1887,6720
1888,6725
1889,6765
1890,6755
1891,6789
1892,6790
1893,6810
1894,6808
1895,6784
1896,6763
1897,6773
1898,6815
1899,6814
1900,6771
1901,6723
1902,6686
1903,6781
1904,6813
1905,6775
1906,6817
1907,6789
1908,6770
1909,6817
1910,6834
1911,6804
1912,6856
1913,6814
1914,6850
1915,6819
1916,6848
1917,6794
1918,6811
1919,6809
1920,6799
1921,6811
1922,6798
1923,6821
1924,6802
1925,6844
1926,6813
1927,6813
1928,6828
1929,6794
1930,6845
1931,6850
1932,6837
1933,6780
1934,6786
1935,6841
1936,6853
1937,6838
1938,6923
1939,6809
1940,6828
1941,6789
1942,6803
1943,6854
1944,6858
1945,6864
1946,6849
1947,6763
1948,6846
1949,6883
1950,6876
1951,6852
1952,6868
1953,6839
1954,6881
1955,6888
1956,6810
1957,6831
1958,6868
1959,6829
1960,6861
1961,6913
1962,6860
1963,6815
1964,6857
1965,6917
1966,6943
1967,6965
1968,6886
1969,6856
1970,6881
1971,6826
1972,6814
1973,6866
1974,6864
1975,6838
1976,6825
1977,6904
1978,6883
1979,6889
1980,6903
1981,6941
1982,6917
1983,6959
1984,6906
1985,6908
1986,6908
1987,6889
1988,6976
1989,6928
1990,6974
1991,6869
1992,6917
1993,6905
1994,6951
1995,6946
1996,6836
1997,6884
1998,6964
1999,6959
2000,6957
2001,6956
2002,6944
2003,6934
2004,6966
2005,6939
2006,6941
2007,6988
2008,6963
2009,6929
2010,6916
2011,6963
2012,6948
2013,6919
2014,6952
2015,6982
2016,6963
2017,7002
2018,6935
2019,7017
2020,7016
2021,6988
2022,7013
