1879,7254
1880,7298
1881,7268
1882,7255
1883,7244
1884,7257
1885,7249
1886,7193
1887,7291
1888,7213
1889,7203
1890,7247
1891,7154
1892,7205
1893,7264
1894,7228
1895,7198
1896,7185
1897,7185
1898,7276
1899,7342
1900,7168
1901,7143
1902,7210
1903,7356
1904,7156
1905,7213
1906,7199
1907,7153
1908,7089
1909,7151
1910,7129
1911,7186
1912,7180
1913,7228
1914,7160
1915,7084
1916,7112
1917,7167
1918,7128
1919,7096
1920,7094
1921,7235
1922,7156
1923,7195
1924,7108
1925,7192
1926,7082
1927,7154
1928,7127
1929,7114
1930,7084
1931,7088
1932,7158
1933,7026
1934,7098
1935,7122
1936,7048
1937,6971
1938,7165
1939,6963
1940,7023
1941,6934
1942,7028
1943,7178
1944,7107
1945,7099
1946,7054
1947,6948
1948,7127
1949,7159
1950,7091
1951,6953
1952,7082
1953,7081
1954,7037
1955,7095
1956,7073
1957,7105
1958,7011
1959,6957
1960,6898
1961,7120
1962,7098
1963,6949
1964,7050
1965,7010
1966,6969
1967,7136
1968,6989
1969,6941
1970,6986
1971,7029
1972,6925
1973,7075
1974,7004
1975,7042
1976,6926
1977,6973
1978,6975
1979,6973
1980,6943
1981,7082
1982,7013
1983,7143
1984,6972
1985,6963
1986,6989
1987,6942
1988,7027
1989,7130
1990,7126
1991,6977
1992,7048
1993,6957
1994,6976
1995,7047
1996,6803
1997,6974
1998,7017
1999,6981
2000,7011
2001,6960
2002,6932
2003,6924
2004,7008
2005,6990
2006,6940
2007,7096
2008,7042
2009,6909
2010,6856
2011,7005
2012,7020
2013,6897
2014,6854
2015,7062
2016,6932
2017,7048
2018,6878
2019,6974
2020,7092
2021,6944
2022,6995
2023,7000
