1905,6915
1906,6955
1907,6963
1908,6945
1909,6857
1910,6905
1911,6885
1912,6915
1913,6945
1914,6998
1915,7028
1916,6980
1917,6961
1918,6916
1919,6995
1920,7070
1921,7023
1922,6984
1923,6973
1924,6949
1925,6997
1926,6983
1927,6954
1928,6934
1929,6949
1930,6984
1931,6996
1932,6991
1933,6978
1934,6943
1935,6998
1936,7003
1937,6972
1938,6980
1939,6981
1940,7057
1941,7029
1942,7025
1943,7078
1944,7036
1945,7003
1946,7020
1947,7019
1948,6991
1949,7012
1950,7018
1951,7014
1952,7025
1953,7011
1954,7026
1955,6952
1956,6988
1957,7011
1958,7042
1959,7097
1960,6995
1961,7064
1962,7057
1963,7055
1964,7034
1965,7020
1966,7032
1967,6998
1968,7057
1969,7070
1970,7007
1971,7003
1972,7006
1973,7043
1974,7093
1975,7010
1976,7034
1977,7051
1978,7076
1979,7055
1980,7094
1981,7122
1982,7035
1983,7050
1984,7097
1985,7068
1986,7005
1987,7034
1988,7124
1989,7051
1990,7001
1991,7050
1992,7091
1993,7074
1994,7067
1995,7130
1996,7112
1997,7096
1998,7026
1999,7077
2000,7044
2001,7059
2002,7053
2003,7127
2004,7126
2005,7096
2006,7125
2007,7088
2008,7095
2009,7048
2010,7071
2011,7068
2012,7071
2013,7085
2014,7104
2015,7102
2016,7155
2017,7197
2018,7133
2019,7145
2020,7210
2021,7142
2022,7110
2023,7113
