Year,,,,Regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Noth Pacific (NP),,,,,,,,South Pacific (SP),,,,,,,Western GOM (WGOM),,,,,,,Eastern GOM (EGOM),,,,,,,South Atlantic (SA),,,,,,,Mid Atlantic (MA),,,,,,,North Atlantic (NA),,,,,,,,,,,
,,Summer,,,Winter,,,,Summer,,,Winter,,,,Summer,,,Winter,,,,Summer,,,Winter,,,,Summer,,,Winter,,,,Summer,,,Winter,,,,Summer,,,Winter,,,,,,,,,
,Location,Scale,Shape,Location,Scale,Shape,,Location,Scale,Shape,Location,Scale,Shape,,Location,Scale,Shape,Location,Scale,Shape,,Location,Scale,Shape,Location,Scale,Shape,,Location,Scale,Shape,Location,Scale,Shape,,Location,Scale,Shape,Location,Scale,Shape,,Location,Scale,Shape,Location,Scale,Shape,,,,,,,,
1900,NaN,NaN,NaN,NaN,NaN,NaN,,1.070,0.047,-0.237,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
1901,NaN,NaN,NaN,NaN,NaN,NaN,,1.071,0.048,-0.237,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
1902,NaN,NaN,NaN,NaN,NaN,NaN,,1.073,0.048,-0.237,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,0.624,0.094,0.343,0.754,0.102,-0.035,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
1903,NaN,NaN,NaN,NaN,NaN,NaN,,1.073,0.048,-0.237,NaN,NaN,NaN,,NaN,NaN,NaN,0.523,0.068,-0.084,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,0.626,0.096,0.343,0.752,0.101,-0.035,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
1904,NaN,NaN,NaN,NaN,NaN,NaN,,1.068,0.050,-0.237,NaN,NaN,NaN,,0.493,0.109,0.454,0.523,0.068,-0.084,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,0.626,0.096,0.343,0.750,0.112,-0.035,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
1905,NaN,NaN,NaN,NaN,NaN,NaN,,1.066,0.049,-0.237,1.335,0.069,-0.300,,0.497,0.114,0.454,0.528,0.071,-0.084,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,0.627,0.099,0.343,0.751,0.114,-0.035,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
1906,NaN,NaN,NaN,NaN,NaN,NaN,,1.066,0.049,-0.237,1.337,0.070,-0.300,,0.495,0.115,0.454,0.524,0.069,-0.084,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,0.628,0.101,0.343,0.741,0.113,-0.035,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
1907,NaN,NaN,NaN,NaN,NaN,NaN,,1.065,0.048,-0.237,1.335,0.073,-0.300,,0.488,0.110,0.454,0.518,0.067,-0.084,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,0.623,0.100,0.343,0.747,0.119,-0.035,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
1908,NaN,NaN,NaN,NaN,NaN,NaN,,1.061,0.049,-0.237,1.333,0.072,-0.300,,0.483,0.105,0.454,0.521,0.069,-0.084,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,0.623,0.100,0.343,0.745,0.123,-0.035,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
1909,NaN,NaN,NaN,NaN,NaN,NaN,,1.060,0.048,-0.237,1.330,0.070,-0.300,,0.482,0.104,0.454,0.518,0.069,-0.084,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,0.624,0.102,0.343,0.745,0.123,-0.035,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
1910,NaN,NaN,NaN,NaN,NaN,NaN,,1.064,0.047,-0.237,1.332,0.072,-0.300,,0.480,0.103,0.454,0.519,0.071,-0.084,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,0.626,0.108,0.343,0.742,0.122,-0.035,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
1911,NaN,NaN,NaN,NaN,NaN,NaN,,1.064,0.048,-0.237,1.336,0.074,-0.300,,0.476,0.099,0.454,0.513,0.070,-0.084,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,0.630,0.115,0.343,0.738,0.121,-0.035,,NaN,NaN,NaN,2.194,0.107,-0.103,,,,,,,,
1912,NaN,NaN,NaN,NaN,NaN,NaN,,1.065,0.048,-0.237,1.334,0.073,-0.300,,0.469,0.096,0.454,0.514,0.070,-0.084,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,0.636,0.115,0.343,0.740,0.118,-0.035,,NaN,NaN,NaN,2.197,0.112,-0.103,,,,,,,,
