1928,6819
1929,6832
1930,6832
1931,6863
1932,6875
1933,6935
1934,6867
1935,6909
1936,6878
1937,6930
1938,6923
1939,6932
1940,6965
1941,6917
1942,6945
1943,6911
1944,6942
1945,6987
1946,6987
1947,6944
1948,7001
1949,6970
1950,6934
1951,6994
1952,6990
1953,6991
1954,6958
1955,6997
1956,7015
1957,6997
1958,7032
1959,6958
1960,7033
1961,7030
1962,7043
1963,6966
1964,6990
1965,6985
1966,7008
1967,7042
1968,7026
1969,7055
1970,7055
1971,7072
1972,7130
1973,7100
1974,7072
1975,7095
1976,7011
1977,7008
1978,7110
1979,7087
1980,7053
1981,7049
1982,7086
1983,7168
1984,7145
1985,7104
1986,7110
1987,7141
1988,7067
1989,7091
1990,7079
1991,7141
1992,7164
1993,7157
1994,7103
1995,7138
1996,7215
1997,7211
1998,7263
1999,7205
2000,7171
2001,7166
2002,7140
2003,7212
2004,7212
2005,7271
2006,7229
2007,7193
2008,7210
2009,7278
2010,7290
2011,7274
2012,7280
2013,7257
2014,7284
2015,7254
2016,7294
2017,7289
2018,7316
2019,7350
2020,7332
2021,7319
2022,7308
2023,7380
